day_position,rankic_F,rankic_E,rankic_H,F_minus_E,E_minus_H,F_minus_H,year,phase,n
3070,0.3890952130136554,0.37949799195710765,0.34270398377340316,0.009597221056547756,0.036794008183704485,0.04639122924025224,2019,1,2982
3075,0.2858256372456454,0.28743004503947006,0.2526266516939731,-0.001604407793824647,0.03480339334549698,0.03319898555167233,2019,2,2973
3080,0.20384223800475934,0.17706890713956944,0.20366329806986358,0.026773330865189904,-0.026594390930294143,0.000178939934895761,2019,3,2996
3085,0.22165586704785745,0.20217762910984918,0.2015638841578031,0.019478237938008264,0.0006137449520460803,0.020091982890054344,2019,0,3029
3090,0.12475608710439877,0.11395872123392252,0.14983071296111547,0.01079736587047625,-0.03587199172719295,-0.0250746258567167,2019,1,3036
3095,0.18027718139908588,0.13437959064675178,0.18008790202943267,0.0458975907523341,-0.04570831138268089,0.00018927936965321135,2019,2,3032
3100,0.1072411896891032,0.066862839602961,0.10691561416654491,0.04037835008614221,-0.040052774563583915,0.0003255755225582968,2019,3,3057
3105,0.09174352457968189,0.03205322271248992,0.086381402034792,0.05969030186719197,-0.05432817932230208,0.005362122544889894,2019,0,3084
3110,0.062060407190007175,0.024682742185103974,0.03420624614148735,0.0373776650049032,-0.009523503956383378,0.027854161048519822,2019,1,3085
3115,0.1388138621210238,0.10812360287819067,0.11348950009239644,0.03069025924283314,-0.005365897214205773,0.025324362028627367,2019,2,3081
3120,0.14101070852232842,0.12560834086406591,0.10428870062157815,0.0154023676582625,0.021319640242487767,0.03672200790075027,2019,3,3105
3125,0.25444362517536157,0.22894445251974893,0.14402137516691074,0.025499172655612634,0.08492307735283819,0.11042225000845082,2019,0,3118
3130,0.25456563867565146,0.24284330978695262,0.20544989762469212,0.01172232888869884,0.0373934121622605,0.04911574105095934,2019,1,3123
3135,0.21101842033750573,0.1664639795828655,0.17641304193602564,0.04455444075464024,-0.009949062353160149,0.03460537840148009,2019,2,3121
3140,0.16993666058182902,0.1073492051204268,0.10227224747051279,0.06258745546140222,0.0050769576499140046,0.06766441311131623,2019,3,3136
