day_position,date,phase,predictor,n,rankic,decile_spread,top30_mean,universe_mean,top30_minus_universe,ties_present,clock
2600,2017-09-08,3,negative_mean10_epsilon,1758,0.14791390621507744,0.06904779335962043,0.03470011733006686,0.004096511930743145,0.030603605399323712,False,1430
2605,2017-09-15,0,K1,1764,0.29632872166143026,0.10947687293942596,0.04292551348917186,0.0029735003904518627,0.03995201309872,True,1430
2605,2017-09-15,0,last_epsilon,1764,-0.03474555772056468,-0.008538132913899559,-0.04713707103704413,0.0029735003904518627,-0.05011057142749599,False,1430
2605,2017-09-15,0,negative_last_epsilon,1764,0.03474555772056468,0.008538132913899559,-0.06151265221415088,0.0029735003904518627,-0.06448615260460275,False,1430
2605,2017-09-15,0,mean10_epsilon,1764,-0.21618650587148006,-0.0851567131770604,-0.054928652352343,0.0029735003904518627,-0.057902152742794866,False,1430
2605,2017-09-15,0,negative_mean10_epsilon,1764,0.21618650587148006,0.0851567131770604,0.05303166320857902,0.0029735003904518627,0.05005816281812716,False,1430
2610,2017-09-22,1,K1,1797,0.3179214938084357,0.10531378772522362,0.1048478566420575,0.005374906614903562,0.09947295002715394,True,1430
2610,2017-09-22,1,last_epsilon,1797,-0.013856144898871279,0.005552594108203723,-0.023673725392048556,0.005374906614903562,-0.029048632006952117,False,1430
2610,2017-09-22,1,negative_last_epsilon,1797,0.013856144898871279,-0.005552594108203723,-0.061390275655624764,0.005374906614903562,-0.06676518227052833,False,1430
2610,2017-09-22,1,mean10_epsilon,1797,-0.25033697331612387,-0.08133008060638673,-0.08555019991472364,0.005374906614903562,-0.0909251065296272,False,1430
2610,2017-09-22,1,negative_mean10_epsilon,1797,0.25033697331612387,0.08133008060638673,0.04053439665973808,0.005374906614903562,0.03515949004483451,False,1430
2615,2017-09-29,2,K1,1808,0.20641120497230983,0.0731329218287202,0.05907208864227868,0.004944891999195384,0.0541271966430833,True,1430
2615,2017-09-29,2,last_epsilon,1808,0.10226197388613803,0.06124373715526114,0.02513812351971865,0.004944891999195384,0.020193231520523262,False,1430
2615,2017-09-29,2,negative_last_epsilon,1808,-0.10226197388613803,-0.06124373715526114,-0.07926753877351682,0.004944891999195384,-0.0842124307727122,False,1430
2615,2017-09-29,2,mean10_epsilon,1808,-0.17036191515580398,-0.0652538989343965,-0.034024688477317495,0.004944891999195384,-0.03896958047651288,False,1430
2615,2017-09-29,2,negative_mean10_epsilon,1808,0.17036191515580398,0.0652538989343965,0.03110222380879956,0.004944891999195384,0.026157331809604174,False,1430
2620,2017-10-13,3,K1,1800,0.09712272750701466,0.025023315097496376,0.039754758230992594,0.003265768143458748,0.03648899008753385,False,1430
2620,2017-10-13,3,last_epsilon,1800,0.09637891863546871,0.043491714164216926,-0.03178700988646597,0.003265768143458748,-0.035052778029924715,False,1430
2620,2017-10-13,3,negative_last_epsilon,1800,-0.09637891863546871,-0.043491714164216926,-0.039286592649295925,0.003265768143458748,-0.04255236079275467,False,1430
2620,2017-10-13,3,mean10_epsilon,1800,-0.07263642571083098,-0.020904179168994435,0.0055998156623293955,0.003265768143458748,0.0023340475188706475,False,1430
2620,2017-10-13,3,negative_mean10_epsilon,1800,0.07263642571083098,0.020904179168994435,-0.007250654355933269,0.003265768143458748,-0.010516422499392017,False,1430
2625,2017-10-20,0,K1,1813,0.0395987649215656,0.0005752661210752606,0.027766760134060556,0.0058992634390515565,0.021867496695009,True,1430
2625,2017-10-20,0,last_epsilon,1813,0.1595962491655509,0.0592472418985476,0.018857577218053242,0.0058992634390515565,0.012958313779001685,False,1430
2625,2017-10-20,0,negative_last_epsilon,1813,-0.1595962491655509,-0.0592472418985476,-0.10357444817200304,0.0058992634390515565,-0.1094737116110546,False,1430
