day_position,date,phase,predictor,n,rankic,decile_spread,top30_mean,universe_mean,top30_minus_universe,ties_present,clock,seed
2560,2017-07-14,3,H,1688,0.1596722813492086,0.06828527309456452,0.08053453440467516,0.00353862640143652,0.07699590800323863,False,1430,29
2565,2017-07-21,0,F,1683,0.3364615999961944,0.14314464241613764,0.061219279871632656,0.00462529272805012,0.05659398714358253,True,1430,29
2565,2017-07-21,0,H,1683,0.25456957850918877,0.09079804758221144,0.06374301783119639,0.00462529272805012,0.059117725103146265,False,1430,29
2570,2017-07-28,1,F,1730,0.33200918481560304,0.10649326180021758,0.04131196197122335,-0.002017895753558566,0.04332985772478192,False,1430,29
2570,2017-07-28,1,H,1730,0.30920256571002985,0.10283887992354615,0.04392939123014609,-0.002017895753558566,0.045947286983704656,False,1430,29
2575,2017-08-04,2,F,1733,0.1607163903237989,0.05346943924359357,0.016947810941686233,-0.0019944727153954553,0.01894228365708169,False,1430,29
2575,2017-08-04,2,H,1733,0.14527017569355644,0.03768901721119196,0.00910955307384332,-0.0019944727153954553,0.011104025789238775,False,1430,29
2580,2017-08-11,3,F,1724,0.051295969654508444,0.017683482451566094,0.006252397402810554,-0.0009291137198111089,0.007181511122621663,False,1430,29
2580,2017-08-11,3,H,1724,0.0251785027709734,0.01210838307299635,0.03158175770659,-0.0009291137198111089,0.032510871426401106,False,1430,29
2585,2017-08-18,0,F,1732,0.09898132257701588,0.05382391353440774,0.03485682206228376,-0.002388226849323612,0.03724504891160737,False,1430,29
2585,2017-08-18,0,H,1732,0.045691178458512886,0.04349572528723117,0.016654649376869203,-0.002388226849323612,0.019042876226192815,False,1430,29
2590,2017-08-25,1,F,1774,0.10342365207484364,0.04040839889094675,0.0034722251196702323,-0.0021674267047423743,0.005639651824412607,False,1430,29
2590,2017-08-25,1,H,1774,0.057848866855938895,0.03164763227078832,-0.0053649232412377994,-0.0021674267047423743,-0.003197496536495425,False,1430,29
2595,2017-09-01,2,F,1769,0.17959790021594996,0.09700460829431409,0.047203357835921146,0.004025724113781071,0.04317763372214008,False,1430,29
2595,2017-09-01,2,H,1769,0.1335696914127817,0.06810638519974335,0.03198981179545323,0.004025724113781071,0.027964087681672162,False,1430,29
2600,2017-09-08,3,F,1758,0.25238765298734317,0.1178554192336326,0.06952086258679628,0.004096511930743145,0.06542435065605313,False,1430,29
2600,2017-09-08,3,H,1758,0.19388181456172804,0.10399998678272823,0.039437855345507464,0.004096511930743145,0.03534134341476432,False,1430,29
2605,2017-09-15,0,F,1764,0.29780257239549635,0.11529692498284434,0.034760391789798936,0.0029735003904518627,0.031786891399347074,False,1430,29
2605,2017-09-15,0,H,1764,0.25926604758679056,0.10326327218023255,0.0522000919872274,0.0029735003904518627,0.04922659159677554,False,1430,29
2610,2017-09-22,1,F,1797,0.3179876656618054,0.10683644349834068,0.07028804362441103,0.005374906614903562,0.06491313700950747,False,1430,29
2610,2017-09-22,1,H,1797,0.28223403613070946,0.08773963141720742,0.060824013159920774,0.005374906614903562,0.05544910654501721,False,1430,29
2615,2017-09-29,2,F,1808,0.20705789086865498,0.07056910308828164,0.0348763019447991,0.004944891999195384,0.029931409945603712,False,1430,29
2615,2017-09-29,2,H,1808,0.13993403592560352,0.04208603690656471,0.04141165794765887,0.004944891999195384,0.036466765948463487,False,1430,29
2620,2017-10-13,3,F,1800,0.11822146035641781,0.03594924904157071,0.043521780526498334,0.003265768143458748,0.04025601238303959,False,1430,29
2620,2017-10-13,3,H,1800,0.0352206507882667,0.0034436501004771955,0.025210278760641813,0.003265768143458748,0.021944510617183065,False,1430,29
2625,2017-10-20,0,F,1813,0.0536808528253184,0.012520538829458973,0.020472044606382647,0.0058992634390515565,0.01457278116733109,False,1430,29
2625,2017-10-20,0,H,1813,-7.752623537139845e-07,-0.014724897923790285,-5.1660793057332436e-06,0.0058992634390515565,-0.0059044295183572895,False,1430,29
2630,2017-10-27,1,F,1832,0.10042877893669688,0.04400547976034491,0.025309411560495695,0.008062931878942924,0.01724647968155277,False,1430,29
2630,2017-10-27,1,H,1832,0.10641342857925419,0.05330152384326266,0.04617661369654039,0.008062931878942924,0.03811368181759747,False,1430,29
2635,2017-11-03,2,F,1832,0.14397863819852486,0.044323542019507535,0.06506477992710037,0.00628652870963732,0.05877825121746305,False,1430,29
2635,2017-11-03,2,H,1832,0.10063503465172909,0.04042541470774322,0.028123874226973083,0.00628652870963732,0.021837345517335762,False,1430,29
2640,2017-11-10,3,F,1814,0.0516666214256386,0.03994328145951403,0.049941863678395745,0.012150566266239114,0.03779129741215663,False,1430,29
2640,2017-11-10,3,H,1814,-0.00440237034976364,0.0005009281525397372,0.0055590989689032234,0.012150566266239114,-0.0065914672973358904,False,1430,29
2645,2017-11-17,0,F,1820,0.08155233289650973,0.03775817954802123,0.061185517127159986,0.006845961098640276,0.05433955602851971,False,1430,29
2645,2017-11-17,0,H,1820,0.06511958967994609,0.027420151887741707,-0.071739693346899,0.006845961098640276,-0.07858565444553928,False,1430,29
