decision_id,decision_date,year,decision_clock,replay_segment_id,eligible_count,selected_count,oracle_count,selected_oracle_overlap_count,selected_oracle_overlap_share,selected_mean_h20_return,oracle_mean_h20_return,selection_gap_mean_h20_return,selected_median_opportunity_rank
14:30:20150507,2015-05-07,2015,14:30,2011_2020,1037,30,30,3,0.10000000000000001,0.52009588725049116,1.0687808439429169,-0.54868495669242578,284
14:45:20150507,2015-05-07,2015,14:45,2011_2020,1036,30,30,3,0.10000000000000001,0.53129955620009828,1.1232085731771158,-0.59190901697701748,393.5
14:30:20150514,2015-05-14,2015,14:30,2011_2020,989,30,30,0,0,0.34769872660157641,0.90530550993941294,-0.55760678333783653,434.5
14:45:20150514,2015-05-14,2015,14:45,2011_2020,983,30,30,0,0,0.34882164264792703,0.89861141429667102,-0.54978977164874399,440
14:30:20150521,2015-05-21,2015,14:30,2011_2020,944,30,30,2,0.066666666666666666,0.11546347824745971,0.70159728224278384,-0.58613380399532411,581.5
14:45:20150521,2015-05-21,2015,14:45,2011_2020,933,30,30,2,0.066666666666666666,0.12866727733519084,0.67889542585506413,-0.55022814851987323,550.5
14:30:20150528,2015-05-28,2015,14:30,2011_2020,949,30,30,1,0.033333333333333333,-0.20665811182530236,0.31314374431984232,-0.51980185614514474,815
14:45:20150528,2015-05-28,2015,14:45,2011_2020,948,30,30,1,0.033333333333333333,-0.19858633166939743,0.3283551078161257,-0.52694143948552319,795
14:30:20150604,2015-06-04,2015,14:30,2011_2020,933,30,30,1,0.033333333333333333,-0.34099798806246268,0.009342767049779625,-0.35034075511224227,453
14:45:20150604,2015-06-04,2015,14:45,2011_2020,924,30,30,0,0,-0.37204729629973604,-0.025407757802885952,-0.34663953849685009,418
14:30:20150611,2015-06-11,2015,14:30,2011_2020,664,30,30,0,0,-0.39076415624268335,-0.0036057217085768219,-0.38715843453410653,305
14:45:20150611,2015-06-11,2015,14:45,2011_2020,662,30,30,0,0,-0.40580919438578317,-0.010581390582745542,-0.39522780380303763,309
14:30:20150618,2015-06-18,2015,14:30,2011_2020,897,30,30,3,0.10000000000000001,-0.29375115518393019,0.039931022905687806,-0.33368217808961798,353
14:45:20150618,2015-06-18,2015,14:45,2011_2020,899,30,30,2,0.066666666666666666,-0.27977705282572624,0.052736445158830886,-0.33251349798455709,345
14:30:20150626,2015-06-26,2015,14:30,2011_2020,892,30,30,3,0.10000000000000001,-0.040689407845306995,0.26064550661656144,-0.30133491446186844,264
14:45:20150626,2015-06-26,2015,14:45,2011_2020,892,30,30,3,0.10000000000000001,-0.047160307493667973,0.24769837918101245,-0.2948586866746804,238.5
14:30:20150703,2015-07-03,2015,14:30,2011_2020,902,30,30,3,0.10000000000000001,0.072389250504343777,0.50718784817715246,-0.43479859767280871,269
14:45:20150703,2015-07-03,2015,14:45,2011_2020,902,30,30,3,0.10000000000000001,0.096123847683858191,0.51996354625412156,-0.42383969857026338,296.5
14:30:20150710,2015-07-10,2015,14:30,2011_2020,318,30,30,3,0.10000000000000001,0.16241372076749752,0.48148175359057005,-0.3190680328230725,160.5
14:45:20150710,2015-07-10,2015,14:45,2011_2020,317,30,30,5,0.16666666666666666,0.20620435107719301,0.49982888593214037,-0.29362453485494733,139
14:30:20150717,2015-07-17,2015,14:30,2011_2020,674,30,30,1,0.033333333333333333,0.054246032243457164,0.61401155674361363,-0.55976552450015649,523.5
14:45:20150717,2015-07-17,2015,14:45,2011_2020,655,30,30,1,0.033333333333333333,0.048551050536378162,0.59318886783542468,-0.54463781729904648,487
14:30:20150724,2015-07-24,2015,14:30,2011_2020,705,30,30,1,0.033333333333333333,-0.10505307147461709,0.30469688923597549,-0.40974996071059255,496
14:45:20150724,2015-07-24,2015,14:45,2011_2020,707,30,30,1,0.033333333333333333,-0.098233099756469558,0.28676424964407315,-0.3849973494005427,387.5
14:30:20150731,2015-07-31,2015,14:30,2011_2020,718,30,30,1,0.033333333333333333,-0.076312057270740669,0.27241045775556622,-0.34872251502630691,336
14:45:20150731,2015-07-31,2015,14:45,2011_2020,716,30,30,1,0.033333333333333333,-0.055928057476278381,0.28494275211056902,-0.3408708095868474,334
14:30:20150807,2015-08-07,2015,14:30,2011_2020,631,30,30,1,0.033333333333333333,-0.21575901494355915,0.076769949614808153,-0.2925289645583673,294.5
14:45:20150807,2015-08-07,2015,14:45,2011_2020,628,30,30,1,0.033333333333333333,-0.21817435737242649,0.068631805621578501,-0.28680616299400497,295.5
14:30:20150814,2015-08-14,2015,14:30,2011_2020,819,30,30,0,0,-0.35270087248608822,-0.039096395924410381,-0.31360447656167784,439
14:45:20150814,2015-08-14,2015,14:45,2011_2020,813,30,30,0,0,-0.34661789926608882,-0.036632107990283706,-0.30998579127580511,312.5
14:30:20150821,2015-08-21,2015,14:30,2011_2020,848,30,30,0,0,-0.16167448206896498,0.13193660794191445,-0.29361109001087943,338.5
